=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.05.02 09:32:03 =~=~=~=~=~=~=~=~=~=~=~=
SEEING EYE FORCE DATA COLLECION
Scale setup in 5 seconds
Setting up scale...
READINGS, KGs:
0.00 5813
0.00 5914
0.00 6016
0.00 6116
0.00 6217
0.00 6318
0.00 6419
0.00 6519
0.00 6621
0.00 6722
0.00 6822
0.00 6924
0.00 7024
0.00 7126
0.00 7226
0.00 7327
0.00 7428
0.01 7529
0.01 7630
0.01 7731
-0.03 7832
-0.07 7932
-0.08 8034
-0.08 8134
-0.07 8236
-0.03 8336
-0.00 8437
0.04 8539
0.03 8639
-0.01 8740
-0.04 8841
-0.06 8942
-0.07 9042
-0.07 9144
-0.06 9245
-0.02 9346
0.05 9447
0.12 9547
0.17 9649
0.16 9749
0.11 9850
0.08 9952
0.10 10052
0.13 10153
0.11 10254
0.07 10355
0.02 10457
-0.00 10557
-0.01 10658
-0.01 10759
-0.03 10860
-0.02 10961
-0.03 11062
-0.03 11163
-0.04 11264
-0.03 11365
-0.04 11466
-0.04 11567
-0.04 11668
-0.04 11768
-0.01 11870
-0.01 11971
-0.02 12071
-0.00 12173
0.01 12273
-0.01 12375
-0.00 12476
0.00 12576
0.01 12678
0.00 12778
-0.01 12879
-0.01 12981
0.00 13081
0.02 13182
0.01 13284
0.00 13384
-0.01 13486
-0.05 13586
-0.07 13687
-0.02 13789
0.04 13889
0.02 13990
0.02 14091
0.02 14192
0.02 14294
0.01 14394
0.01 14495
0.01 14596
0.01 14697
0.01 14798
0.00 14899
0.01 15000
0.00 15100
0.00 15202
0.00 15303
0.01 15404
0.01 15505
0.01 15605
0.01 15707
0.02 15808
0.02 15908
0.02 16010
0.02 16110
0.03 16211
0.04 16313
0.06 16413
0.08 16515
0.08 16615
0.09 16716
0.11 16818
0.11 16918
0.10 17019
0.10 17120
0.08 17221
0.07 17323
0.07 17423
0.10 17524
0.11 17625
0.10 17726
0.10 17827
0.10 17928
0.08 18029
0.06 18130
0.06 18231
0.06 18332
0.06 18433
0.07 18534
0.09 18635
0.10 18736
0.12 18837
0.10 18937
0.08 19039
0.08 19140
0.09 19240
0.07 19342
0.07 19442
0.09 19544
0.08 19645
0.09 19745
0.09 19847
0.10 19947
0.11 20048
0.14 20150
0.15 20250
0.16 20352
0.15 20452
0.15 20553
0.16 20655
0.16 20755
0.16 20856
0.17 20958
0.17 21058
0.20 21159
0.22 21260
0.25 21361
0.28 21463
0.29 21563
0.28 21664
0.25 21765
0.24 21866
0.25 21967
0.27 22068
0.30 22169
0.32 22269
0.30 22371
0.27 22472
0.25 22573
0.24 22674
0.22 22775
0.18 22876
0.17 22977
0.18 23077
0.20 23179
0.21 23280
0.22 23380
0.24 23482
0.26 23582
